,id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
0,gd-1009567833310,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009567833310,,"Senior Software Engineer, Infrastructure",Scott’s Cheap Flights,,2024-12-16,,direct_data,yearly,165000.0,165000.0,USD,True,,,organic,careers@going.com,"**About the Role**
------------------


At Going, our mission is to help people travel and experience the world, while becoming the foremost travel app in everyone's pocket. As a bootstrapped and profitable travel\-tech company with over 2\.5M subscribers, we are scaling our infrastructure to support a data\-driven product experience and ensure a seamless platform for our members.


We’re hiring a **Senior Infrastructure Engineer** to lead the design, implementation, and optimization of our SaaS infrastructure. In this role, you will partner across engineering and product teams to create scalable, secure, and reliable systems that meet the demands of a growing customer base. You’ll balance hands\-on technical work with strategic decision\-making, fostering a culture of automation, collaboration, and operational excellence.


This role will report to the VP of Engineering.

*We will prioritize applications received by December 31 to ensure timely review and response. While applications may remain open after this date, those submitted later may experience a slower review process.*

**Key Accountabilities**
------------------------

* Oversee the migration of key services to modern cloud\-native infrastructure using best practices for scalability and performance.
* Enhance CI/CD pipelines to streamline development workflows and reduce time\-to\-production.
* Implement robust monitoring, logging, and alerting systems to improve reliability and visibility into system performance.
* Audit the current infrastructure to identify risks, inefficiencies, and opportunities for improvement.
* Own the technical vision for DevOps and infrastructure, driving long\-term improvements in automation, scalability, and security.
* Lead incident response and postmortem processes, ensuring the team is proactive in preventing future outages.
* Act as a mentor to and experience dependent, manage a junior engineer, sharing best practices and fostering a culture of continuous improvement.
* Build and maintain infrastructure as code (IaC) to ensure consistency and repeatability of deployments.
* Collaborate with product, data, and engineering teams to align infrastructure with evolving business needs.

**What you know**
-----------------

**Required:**

* 6\+ years of professional experience in DevOps, Infrastructure Engineering, or Site Reliability Engineering, including 2\+ years in a leadership role.
* Expertise in cloud platforms such as AWS, GCP, or Azure, with a focus on designing and managing scalable infrastructure.
* Hands\-on experience with infrastructure as code tools (e.g., Terraform, CloudFormation).
* Strong background in containerization and orchestration technologies (e.g., Docker, Kubernetes).
* Proven track record of building and optimizing CI/CD pipelines for efficient and secure deployments.
* Experience with monitoring and logging tools (e.g., Prometheus, Grafana, ELK stack).
* Familiarity with security best practices, including identity management, network security, and data protection.
* Excellent communication skills and the ability to collaborate with cross\-functional teams.


‍

**Preferred:** ‍

* Certifications in cloud platforms (e.g., AWS Solutions Architect, Kubernetes Certified Administrator).
* Experience with incident management and building high\-availability systems.
* Knowledge of performance optimization and cost management in cloud environments.
* Expertise in scripting and automation (e.g., Python, Bash, Go).
* Familiarity with supporting data and machine learning platforms.
* Experience working in subscription\-based business models or with large\-scale consumer applications.


‍

**Benefits \& Perks you'll love...**
------------------------------------

* The salary for this role is $165,000 \+ equity
* 100% remote work environment
* Annual team retreats, with past destinations including Washington D.C., Vancouver, Punta Cana, and Mexico City.
* Open vacation policy, with a 15\-day minimum
* Comprehensive health, vision, dental, and life insurance
* 401(k) with a 5% match
* $750/quarter remote work, wellness, and wisdom stipend
* Up to 12 weeks of paid family leave
* Meetup stipend when you cross paths with a co\-worker
* Continuing education \& development reimbursement
* Challenging problems to solve and an awesome team to collaborate with every single day

*We want you to bring your authentic self to work every single day. We accept you for who you are and consider everyone on an equal opportunity basis without regard to ancestry; age; appearance; color; gender identity and/or expression; genetics; family or parental status; marital, civil union, or domestic partnership status; mental, physical, or sensory disability; national, social or ethnic origin; past or present military service; sexual orientation; socioeconomic status; race; religion or belief; hair length; organ donor status. Going is an E\-Verify employer.*

*‍If you require a reasonable accommodation or assistance for any part of the interview and employment process, please contact us at* *careers@going.com* *and let us know the nature of your request.*",,https://www.glassdoor.com/Overview/W-EI_IE2019399.htm,https://media.glassdoor.com/sql/2019399/scott-s-cheap-flights-squareLogo-1673449028101.png,,,,,
1,gd-1009567818319,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009567818319,,"Senior Software Engineer, Compiler",Category Labs,,2024-12-16,,direct_data,yearly,250000.0,250000.0,USD,True,,,organic,,"Category Labs (formerly known as Monad Labs) is a team of systems engineers and researchers on a mission to design and build at the frontier of decentralized technology. We strive to design and build step\-function improvements over existing blockchain solutions. After recently raising $225M in series A funding, led by Paradigm, we are growing our team.

  


### **The Role**



We are looking for an exceptional compiler engineer to work on challenging greenfield projects that accelerate bytecode execution. For example, you will you will work on a bytecode execution graph builder which will enable speculative pre\-pre\-execution of potential of potential control flow paths. Your work will require intensive research and engineering and will help accelerate a platform securing billions of dollars in value. You will report to the CTO. Experience with crypto is not expected.


### **What You Will Do**


* Work on greenfield performance\-oriented projects in a fast\-moving startup environment
* Research ideas for accelerating EVM bytecode execution
* Design and implement performant production systems

### **Who You Are**


* Proven track record in compiler design and system architecture
* Strong background in software engineering principles principles
* Experience with industry\-standard compiler technologies
* Good understanding of testing and benchmarking
* Industry and/or academic experience working on compilers for parallel architectures
* Strong C\+\+ programming skills
* Knowledge of type theory is a plus

### **Additional Information**



Target full\-time salary of $250,000\. (\*\*This is not a guarantee of compensation or salary; a final offer amount may vary based on factors including but not limited to experience and geographic location.)

### **Why Work with Us**


* **Challenging problems.** You'll work on extremely challenging problems with massive impact.
* **Huge opportunity.** The Ethereum Virtual Machine (EVM) standard is ubiquitous, but existing EVM\-compatible chains are very slow. Monad's core innovations offer developers the best of both worlds (portability and performance) and are a game\-changer for mass user adoption in crypto.
* **The right team.** You'll be part of an exceptional team.
* **Culture**. We're a lean team working together to achieve very ambitious goals. We are united in our culture of collaboration, low egos, and high\-quality outputs. As an early member of our team, you'll help continue to shape our culture.
* **Compensation**. You'll receive a competitive salary and equity package.
* **Resources and growth.** We're well\-capitalized, with backing from leading venture funds like Paradigm, Electric Capital, Greenoaks, Dragonfly, and Coinbase Ventures. We keep a lean team, and this is a rare opportunity to join. You'll learn a lot and grow as our company scales.

### **Benefits**



Company benefits for US\-based full\-time employees include medical, dental, and vision insurance (100% coverage for employees); unlimited and encouraged paid time off; monthly mental health and fitness stipend; paid parental leave; and 10 company\-observed holidays.",,https://www.glassdoor.com/Overview/W-EI_IE1634095.htm,,,,,,
2,gd-1009567812905,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009567812905,,Site Reliability Engineer - Remote -,Akamai,,2024-12-16,,direct_data,yearly,68900.0,143100.0,USD,True,,,organic,,"**Are you excited by the opportunity to monitor and produce internet solutions?**


**Would being free to innovate Would being free to innovate excite you?**


**Join our highly skilled security**



Our Team develops and sells Akamai's carrier network security products to fixed and mobile network service providers. We specialize in delivering highly scalable network infrastructure and access\-based security products to our customers. We collaborate to enable our customers to provide high\-quality, secure internet and network access to their end\-users.


**Partner with the best**



As a Site Reliability Engineer you will be working with python code bases involving complex threat detection algorithms in an ultra\-high traffic environment. You would be reading complex code and troubleshooting it and providing solutions. Our team is instrumental in maintaining network stability by improving monitoring processes and developing tools.



As a Site Reliability Engineer, you will be responsible for:


* Troubleshooting complex production issues in a distributed environment
* Performing system programming/automation to solve complex issues
* Defining database requirements as part of the product lifecycle to influence the new designs and standards
* Participating in on\-call rotations, guiding restoration and repair of service\-impacting issues
* Working with Dev and Quality Assurance teams to create more robust solutions, code improvement and stability


**Do what you love**



To be successful in this role you will:


* Have 1\+ years of relevant experience and a Bachelor's degree in related technical field.
* Have proven experience as a systems performance/ site reliability or Devops engineer
* Develop software using Python or any scripti Develop software using Python or any scripting programming language
* Have experience working with NoSQL databases such as Cassandra or Redis
* Have experience with orchestration tools eg Chef or Ansible


**Work in a way that works for you**



FlexBase, Akamai's Global Flexible Working Program, is based on the principles that are helping us create the best workplace in the world. When our colleagues said that flexible working was important to them, we listened. We also know flexible working is important to many of the incredible people considering joining Akamai. FlexBase, gives 95% of employees the choice to work from their home, their office, or both (in the country advertised). This permanent workplace flexibility program is consistent and fair globally, to help us find incredible talent, virtually anywhere. We are happy to discuss working options for this role and encourage you to speak with your recruiter in more detail when you apply.
  

  

Learn what makes Akamai a great place to work



Connect with us on social and see what life at Akamai is like!

  

**We power and protect life online, by solving the toughest challenges, together.**



At Akamai, we're curious, innovative, collaborative and tenacious. We celebrate diversity of thought and we hold an unwavering belief that we can make a meaningful difference. Our teams use their global perspectives to put customers at the forefront of everything they do, so if you are people\-centric, you'll thrive here.


**Working for you**



At Akamai, we will provide you with opportunities to grow, flourish, and achieve great things. Our benefit options are designed to meet your individual needs for today and in the future. We provide benefits surrounding all aspects of your life:


* Your health
* Your finances
* Your family
* Your time at work
* Your time pursuing other endeavors


Our benefit plan options are designed to meet your individual needs and budget, both today and in the future.


**About us**



Akamai powers and protects life online. Leading companies worldwide choose Akamai to build, deliver, and secure their digital experiences helping billions of people live, work, and play every day. With the world's most distributed compute platform from cloud to edge we make it easy for customers to develop and run applications, while we keep experiences closer to users and threats farther away.


**Join us**



Are you seeking an opportunity to make a real difference in a company with a global reach and exciting services and clients? Come join us and grow with a team of people who will energize and inspire you!  

  

Akamai Technologies is an Affirmative Action, Equal Opportunity Employer that values the strength that diversity brings to the workplace. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of gender, gender identity, sexual orientation, race/ethnicity, protected veteran status, disability, or other protected group status.  

  

\#LI\-Remote


**Compensation**



Akamai is committed to fair and equitable compensation practices. The base salary for this position ranges from $68,900 \- $143,100/year; a candidate’s salary is determined by various factors including, but not limited to, relevant work experience, skills, certifications and location. The compensation package may also include incentive compensation opportunities in the form of annual bonus or incentives, equity awards and an Employee Stock Purchase Plan (ESPP). Akamai provides industry\-leading benefits including healthcare, 401K savings plan, company holidays, vacation (in the form of PTO), sick time, family friendly benefits including parental leave and an employee assistance program including a focus on mental and financial wellness; Eligibility requirements apply.",,https://www.glassdoor.com/Overview/W-EI_IE9219.htm,https://media.glassdoor.com/sql/9219/akamai-squarelogo-1483634220096.png,,,,,
3,gd-1009567830208,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009567830208,,Software Quality Assurance Engineer (Remote),"Pinnacle Software Consulting, Inc.",United States,2024-12-16,,,,,,,False,,,organic,,"**Responsibilities**

* Functions as an individual contributor and works under moderate supervision with clearly defined guidelines and direction.
* Follows general guidelines established in the test plan and may receive day\-to\-day instruction and assignments from leadership
* Develops, modifies documents, and executes test cases from approved project requirements and design
* Performs Software Quality Assurance (including but not limited to graphical user interface (GUI), back\-end, interface, batch, regression, automation execution, performance Software Quality Assurance) and records results following established project standards for Software Quality Assurance, defect management, and test deliverables
* Assists with providing defect root cause analysis and assists in verifying defect fixes
* Assists Senior Software Quality Assurance Engineer in creating test data to support planned tests
* Updates the Requirements Traceability Matrix
* Interacts with other functional teams
* Provides Software Quality Assurance status updates to leadership
* Provides input to test planning activities
* Creates and provides input into test plans and other test documentation
* Identifies and escalates risks and issues

**General**

* Demonstrates knowledge of Software Quality Assurance methodologies, best practices, and procedures; and applies them to projects to ensure that test objectives are achieved
* Continues to build experience toward achieving moderate business knowledge in one or more domains
* Adheres to CMMI standards and processes

**Customer**

* Possesses unwavering commitment to customer service and operational excellence
* Provides customer support
* Keeps abreast of new technology and market developments

**Required Experience/Skills:**

* Bachelor’s Degree, preferably in Computer Science, Information Systems, or a closely related field
* 2\+ years of Software Quality Assurance experience
* Understanding of SharePoint applications, WebEx, Skype, etc.
* Knowledge of Microsoft Word, Excel, and Visio, with a working knowledge of the rest of the Microsoft Office suite of applications
* Knowledge of defect management tools (e.g., Jira)
* Knowledge of Unix commands
* Knowledge of database tools (e.g., Oracle, SQL Server, TOAD)
* Domain knowledge of Medicare, Medicaid, or healthcare verticals
* Ability to work well in teams
* Highly organized with analytical skills and attention to detail
* Ability to adapt to task and project changes
* Ability to handle multiple projects with varying priorities
* Strong verbal and written communication skills
* Experience testing multi\-tiered applications or transaction processing systems

**Preferred Experience/Skills:**

* Experience with Software Development Life Cycle (SDLC) and Software Quality Assurance Life Cycle (STLC)
* Experience in the healthcare industry
* Basic knowledge of Selenium Software Quality Assurance

Job Types: Full\-time, Contract

Compensation Package:

* 1099 contract

Schedule:

* 8 hour shift

Education:

* Bachelor's (Required)

Experience:

* SDLC: 5 years (Required)
* SQL: 5 years (Required)
* Selenium Software Quality Assurance: 5 years (Required)
* Test automation: 5 years (Required)

Work Location: Remote",,https://www.glassdoor.com/Overview/W-EI_IE2300961.htm,https://media.glassdoor.com/sql/2300961/pinnacle-software-consulting-squarelogo-1641458684805.png,,,,,
4,gd-1007136916667,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1007136916667,,Full Stack Developer,eVideon Health,"Grand Rapids, MI",2024-12-14,,direct_data,yearly,100000.0,100000.0,USD,False,,,sponsored,,"Full Stack Developer

eVideon Healthcare is seeking talented software developers with full stack experience building multi\-platform web applications. As an eVideon Software Engineer you are free to work at home and at our new headquarters on Wealthy Street alongside an experienced and agile team of developers and support staff dedicated to helping healthcare organizations create an outstanding experience for patients in hospital and at home. This position requires a passion for creative problem\-solving, an ability to balance teamwork with autonomy, and a willingness to contribute to all aspects of software design, including browser and mobile user interfaces, server\-side business logic, database access, and cloud delivery.

Oh, and all our employees get stock options in our fast growing company. You will too :)

How you will contribute:

* Develop cloud\-based applications with microservice architectures
* Migrate Java enterprise applications to a muli\-tenant cloud architecture
* Apply software modeling of business domains to application development
* Design REST\-style API services that integrate with front\-end user interfaces

Preferred Experience:

* Developed multi\-platform applications on browsers, phones, tablets, and smart TVs
* Applied microservices architecture (asynchronous messaging, service discovery, API gateway, etc.)
* Worked with healthcare messaging standards and protocols (HL7 experience is a plus)
* Worked with video streaming software, protocols, and technologies

Preferred Technologies:

* Enterprise Java, Spring, JavaScript tools and frameworks (Angular, React, Node.js), cloud\-based architectures (we use AWS), mobile development (IOS, Android), Git, Jenkins

Critical Competencies:

* Familiarity with Spring / Spring Boot
* Fluency with JavaScript, HTML5, CSS3
* Fluency in SQL and relational database design as well as NoSQL databases
* Ability to clearly communicate and document software concepts, designs, and features
* Knowledge of Agile and test\-driven development tools and practices
* Strong understanding of software design principles and patterns
* Work collaboratively with managers, engineers, and developers in an agile team environment
* Evolve application design through continuous and iterative development
* Refactor and enhance existing applications to improve performance and maintainability

Job Type: Full\-time

Pay: From $100,000\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Employee assistance program
* Flexible schedule
* Flexible spending account
* Health insurance
* Health savings account
* Paid time off
* Vision insurance

Schedule:

* Monday to Friday

Ability to commute/relocate:

* Grand Rapids, MI 49506: Reliably commute or planning to relocate before starting work (Required)

Education:

* Bachelor's (Preferred)

Work Location: Hybrid remote in Grand Rapids, MI 49506",,,,,,,,
5,go-LPag9wnJXu2r9dY5AAAAAA==,google,"https://www.ziprecruiter.com/c/Modern-Treasury/Job/Software-Engineer-Payments/-in-New-York,NY?jid=7a2e7f0c82964572&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,Software Engineer - Payments,Modern Treasury,"New York, NY",2024-12-14,,,,,,,True,,,,,"OVERVIEW

This position can be based out of San Francisco, New York, or remote (we accept candidates from many states).

We're looking for Software Engineers to join our Payments Core organization to lead growth and adoption of global and domestic payment rails. You will lead the development of cutting-edge payment integration solutions. We support nearly 40 currencies in cross-border payments from the U.S. to 131 countries. Our goal is to expand into new markets and add support for local payment rails in EMEA, LATAM, and APAC. You'll be at the forefront of ensuring our payments platform is highly scalable, adaptable, and reliable.

The core platform at Modern Treasury sits between our customers and their banks. In the same way that Twilio abstracted away the complexity of working with communication networks, we have built an easy-to-use, common interface into the banking system. Our customers use our products to do things like move money to or from their users, automate back-office work, and record their transaction ledgers. The companies that can use Modern Treasury move over $750 trillion a year via bank payments, as compared to only $2 trillion per year on card payments.

In this role, you'll directly impact the evolution of our payments product. Your work will shape the future of instant payments, allowing businesses to move money faster and across borders. Experience working with international payment systems is a plus, but success in this role will require creativity and a willingness to learn the details of these payment systems beyond our borders.

ABOUT MODERN TREASURY

Modern Treasury is the operating system for money movement. Our payment operations platform combines a suite of APIs and dashboards to help companies unlock new payments revenue, strengthen customer experiences, and drive efficiency through their business. Our end-to-end platform moves enterprises forward with faster payments, efficient workflows, full data visibility, and seamless bank integrations.

WEEK BY WEEK

During your first week, you will:
• Get to know our leadership, culture, and values
• Onboard with the engineering team
• Ship your first commit on day 1
• Take on 1-2 small tickets to address bugs or make minor improvements
• Read our favorite industry primers

During your first six weeks you will:
• Ship your first major project
• Shadow a few customer and partner meetings every week

During your first six months, you will:
• Lead a project that improves performance and payment workflows across multiple payment rails.
• Collaborate with our product team to scope and ship products for our enterprise users.
• Participate in shaping our roadmap, particularly around scaling and refining payment rail workflows.
• Help grow our team by mentoring new engineers, writing internal tooling and documentation, and interviewing new hires.

WHAT YOU SHOULD HAVE
• 5+ years of professional software engineering experience
• Experience collaborating with product teams to design features and customer-centric workflows that meet customer needs.
• Experience with U.S. domestic and/or global payment rails (ACH, Wires, Swift, RTP) and payments standards (ISO20022, NACHA, BAI)
• Experience working with SQL/Relational databases. Experience with batched payments is a plus.
• Experience mentoring and growing engineering, as well as contributing to technical direction
• Creative problem-solving skills and a willingness to learn the nuances of both domestic and international payment systems.

TECHNOLOGIES WE USE
• Ruby on Rails for our backend framework
• Postgres for our database
• Redis for caching
• AWS for infrastructure and hosting
• Docker for containerization
• GitHub for source code management
• Buildkite for continuous integration

Modern Treasury is committed to equal employment opportunity and does not discriminate in any employment opportunities or practices based on an individual's race, color, creed, gender (including gender identity and gender expression), religion (all aspects of religious beliefs, observance or practice, including religious dress or grooming practices), marital status, registered domestic partner status, age, national origin or ancestry (including language use restrictions and possession of a driver's license issued under California Vehicle Code section 12801.9), natural hair, physical or mental disability, political affiliation, medical condition (including cancer or a record or history of cancer, and genetic characteristics), sex (including pregnancy, childbirth, breastfeeding or related medical condition), genetic information, sexual orientation, military and veteran status or any other consideration made unlawful by federal, state, or local laws. It also prohibits unlawful discrimination based on the perception that anyone has any of those characteristics, or is associated with a person who has or is perceived as having any of those characteristics.

Modern Treasury participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S.",,,,,,,,
6,go-MPWvXFxUkW_iWVI5AAAAAA==,google,https://www.linkedin.com/jobs/view/appian-tech-lead-at-centraprise-4102024359?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Appian Tech Lead,Centraprise,"Edison, NJ",2024-12-10,fulltime,,,,,,False,,,,,"Job Title: Appian Tech Lead

Location: Edison-NJ, Tampa-FL, Irving, TX (Complete Onsite Role)

Duration: Fulltime Employment (Permanent)

Must Have:
• Minimum 8 years of Appian BPM experience.
• Good knowledge of the product including BPM Fundamentals, Architecture Components, Technical Features such as Designer Features, Configurations in Appian etc.
• Should have hands on experience in design and development in Appian BPM including components such as Tempo, Mobility Features, Forums, Discussions, Pages, Smart Services, Reports, Deployment etc.
• Should have good knowledge of Java, J2EE, Ajax, JavaScript, JS, XML, XSLT etc.
• should have design/architecture experience building business workflow automation and business rules execution (a.k.a Rules Engine). Considerations are needed to determine and help in establishing some enterprise standards.

Good-to-Have:
• Appian Certifications if any.
• Should have handled teams of size 5-7 and should be able to mentor the team.
• Excellent analytical and communication skills.
• Should have good knowledge of Appian Administration and servers such as JBOSS\WebSphere\WebLogic etc.",,,,,,,,
7,go-SRh799Yt7bn514PQAAAAAA==,google,https://www.linkedin.com/jobs/view/java-c%23-engineer-hedge-fund-%24400k%2B-at-paragon-alpha-hedge-fund-talent-business-4063580063?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Java/C# Engineer - Hedge Fund - $400k+,Paragon Alpha - Hedge Fund Talent Business,"New York, NY",2024-12-07,,,,,,,False,,,,,"Paragon's client are a Tier 1 Hedge Fund, who take a quant approach to investing, and look after $63 billion in assets.

As part of their core team build out they are hiring a Senior Software Engineer to come in and build core systems used by the business from front office trading to pre/post trade systems. A focus on building world class, distributed systems that will stand the test of time.

The team are also looking for ways to implement AI into their processes. Any experience here would be valuable.

Tech: Java/C#, gRPC, Kafka, SQL, Flink, Python, Kubernetes

We are looking for 3-10 years experience, excellent academics (STEM) and great stakeholder management.

Please get in touch for further information.",,,,,,,,
8,go--1DXbCzuaYzvKVDvAAAAAA==,google,https://www.linkedin.com/jobs/view/lead-software-engineer-at-mastercard-processing-s-a-4101124909?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,"Lead, Software Engineer",Mastercard Processing S.A.,"New York, NY",2024-12-06,,,,,,,False,,,,,"Our Purpose

Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest potential.

Title And Summary

Lead, Software Engineer

Who is Mastercard?

Mastercard is a global technology company in the payments industry. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential.

Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all.

Overview

We are looking for a Lead Software Development Engineer to drive our customer experience strategy forward by consistently innovating and problem-solving. The ideal candidate is passionate about the customer experience journey, highly motivated, intellectually curious, analytical, and possesses an entrepreneurial mindset.

The Role
• Work as a Service Architect to deliver end-to-end product development for Switching Solutions
• Full Stack Development using Microservices, Messaging/Event Driven Frameworks, CICD on a Cloud Native environment (Pivotal Cloud Foundry)
• Ensure benchmarks are met on quality, performance, info security and other NFRs
• Guide and mentor teams effectively as per needs. Train developers on the technologies needed.
• Communicate effectively and coordinate with various global groups in MasterCard to ensure success of the projects, including Business Owners, Product Owners, Enterprise Architecture teams, Other product teams etc.
• Lead various initiatives for improving automation, defect metrics and overall quality. Conduct various Proofs-of-concept as per technological and business needs
• Take responsibility for deciding the relevant tools, technologies and patterns that need to be implemented for the service

All About You
• A strong hands-on technologist with very strong Object-Oriented Design and clean programming skills using the Java language and the SOLID design principles aimed at creating re-usable, scalable components
• Passionate about emerging technologies and trends, especially Event Driven Architecture and modern caching/persistence mechanisms
• Strong experience in Product Development using Digital Native Architecture, Spring Boot framework and Cloud technology (preferably Pivotal Cloud Foundry) in an Agile (SAFe) Development Environment
• Ability to analyze, conceptualize and create cutting edge technical solutions based on the business needs
• Extensive experience in the development of online, real time application features
• Result Oriented Professional
• Strong communication and stakeholder management skills involving Business Owners, Architecture teams, Development/Test teams, Vendors etc. Ability to guide teams on technology.
• Coordination and organization skills and the ability to work with multiple stakeholders and vendors across locations to ensure success of the project.
• Strong understanding, inclination, and experience of working in an Agile (SaFe) environment

Corporate Security Responsibility

Every Person Working For, Or On Behalf Of, Mastercard Is Responsible For Information Security. All Activities Involving Access To Mastercard Assets, Information, And Networks Comes With An Inherent Risk To The Organization And Therefore, It Is Expected That The Successful Candidate For This Position Must:
• Abide by Mastercard’s security policies and practices;
• Ensure the confidentiality and integrity of the information being accessed;
• Report any suspected information security violation or breach, and
• Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.

Corporate Security Responsibility

All Activities Involving Access To Mastercard Assets, Information, And Networks Comes With An Inherent Risk To The Organization And, Therefore, It Is Expected That Every Person Working For, Or On Behalf Of, Mastercard Is Responsible For Information Security And Must:
• Abide by Mastercard’s security policies and practices;
• Ensure the confidentiality and integrity of the information being accessed;
• Report any suspected information security violation or breach, and
• Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.",,,,,,,,
9,go-HJSZ3jAiKApyUryyAAAAAA==,google,https://www.linkedin.com/jobs/view/software-engineer-ii-hadoop-spark-with-python-sql-tableau-powerbi-at-mastercard-processing-s-a-4101119908?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,"Software Engineer II - Hadoop, Spark with Python, SQL, Tableau / PowerBI",Mastercard Processing S.A.,"New York, NY",2024-12-06,,,,,,,False,,,,,"Our Purpose

Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest potential.

Title And Summary

Software Engineer II - Hadoop, Spark with Python, SQL, Tableau / PowerBI

Who is Mastercard?

Mastercard is a global technology company in the payments industry. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential.

Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all.

Job Summary

We are seeking a detail-oriented and motivated Data Analyst to support our Workplace Intelligence Analytics team. As a Data Analyst, you will help with data collection, processing, analysis, and visualization to support business decision-making.

Key Responsibilities
• Assist in collecting, cleaning, and organizing data from various sources to ensure its accuracy and completeness.
• Perform data analysis to identify trends, patterns, and insights that can inform business strategies.
• Generate reports, dashboards, and visualizations to present key findings to stakeholders.
• Support the design and implementation of data models and structures.
• Collaborate with cross-functional teams to understand data requirements and provide insights for business decisions.
• Assist in developing and maintaining documentation of data processes, methods, and results.
• Contribute to improving data collection and analysis processes.

Qualifications
•   Bachelor's degree in Computer Science, Engineering, Data Science, or a related field.
• Experience with database management systems or data visualization tools.
• Basic understanding of statistical techniques and data mining.
•   Proficiency in designing and implementing data tools, technologies, and processes.
•   Expertise in data engineering, ETL/ELT processes, data warehousing, and data modeling.
•   Strong command of data integration techniques and data quality management.
•   Hands-on experience with data technologies such as Hadoop, Spark, Python, SQL, alteryx, Nifi, SSIS, etc.
•   Familiarity with cloud platforms and services, such as AWS, GCP, or Azure.
•   Excellent problem-solving skills and ability to provide innovative data solutions.
•   Strong leadership skills with a proven track record of guiding and mentoring a team.

All About You
•   2-5 years of experience in Data Warehouse related projects
•   Expertise in Data Engineering and Data Analysis: implementing multiple end-to-end DW projects in Big Data Hadoop environment
•   Experience of building data pipelines through Spark with Scala/Python/Java on Hadoop or Object storage
•   Experience of working with Databases like MS SQL Server, Oracle and have strong SQL knowledge
•   Experience in BI tools like Tableau, PowerBI
•   Experience of working on Alteryx, SSIS, NiFi added advantage
•   Experience of working on automation in data flow process in a Big Data environment.
•   Experience of working in Agile teams
•   Strong analytical skills required for debugging production issues, providing root cause and implementing mitigation plan
•   Strong communication skills - both verbal and written – and strong relationship, collaboration skills and organizational skills
•   Ability to quickly learn and implement new technologies, and perform POC to explore best solution for the problem statement

Corporate Security Responsibility

Responsibilities

All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:
• Abide by Mastercard’s security policies and practices;
• Ensure the confidentiality and integrity of the information being accessed;
• Report any suspected information security violation or breach, and
• Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.",,,,,,,,
